id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14057466,2 BR | 1 BA  Close to Downtown & Medical Free Prkg,30314324,Eileen,,Jamaica Plain,42.31357233912847,-71.1138193264009,Entire home/apt,150,3,61,2018-10-29,2.19,1,164
14071446,Twins in a peaceful room.,18896448,Sandy,,Jamaica Plain,42.32249608513066,-71.11475792071663,Private room,65,1,8,2016-12-06,0.28,2,0
14086516,# friendly family home,27871799,Althea,,Mattapan,42.27513774634284,-71.07739961831643,Private room,70,1,25,2018-06-09,0.88,5,320
14086550,3rd flr hide-away in beautiful home in Central JP,7878244,Una,,Jamaica Plain,42.31235754913816,-71.1172236206738,Entire home/apt,120,3,63,2018-11-15,2.48,1,334
14091605,⍟ Lofty South End Room with Street Parking! ⍟,12452436,Drew,,South End,42.34071458337621,-71.07406084459463,Private room,25,1,84,2018-11-11,2.96,2,0
14093943,Boston City Apartment Near Everything,2565039,Theresa & Todd,,Dorchester,42.2815595713565,-71.0628876657312,Entire home/apt,139,1,20,2018-07-03,0.79,2,178
14094279,One of the best rooms in Boston. Period.,84808632,Aurelien,,South End,42.34442714881363,-71.06408580697922,Private room,255,1,42,2016-12-08,1.50,1,0
14104621,"Simple, comfortable and convenient",84922021,Lindsay,,North End,42.36591852353609,-71.0531419142005,Entire home/apt,200,2,10,2017-08-28,0.36,1,0
14105971,Tranquil Treetop Loft,79103444,Bruce,,Jamaica Plain,42.30906284664378,-71.1114197330592,Entire home/apt,129,1,154,2018-11-04,5.46,1,76
14107067,Large Luxury Condo Loft Close to Downtown Boston,32541800,Chris,,South Boston,42.335501177074015,-71.03201440586754,Entire home/apt,250,30,156,2018-11-11,5.55,1,65
14109003,"3rd floor condo, 2 bedrooms, 2 decks",22290246,Kevin,,Jamaica Plain,42.32267988827825,-71.11561971775167,Entire home/apt,117,1,0,,,1,0
14110777,Great Room w/ Couch 1 Block away Public Transit!!!,10877284,Randy,,Roxbury,42.317683707701576,-71.08876225798197,Private room,80,7,10,2018-07-27,0.38,1,365
14125957,Walk everywhere from this South End garden studio,39282139,Mary,,South End,42.34369552432539,-71.07810031710834,Entire home/apt,150,2,173,2018-11-10,6.28,1,151
14147343,Cozy Brownstone in Backbay,34523300,Jie,,Back Bay,42.349597769716915,-71.08934622692323,Private room,92,1,0,,,1,0
14153636,King Zen Room near Harvard Business School,26956083,Todd,,Allston,42.36093263073878,-71.1254883714559,Private room,68,2,101,2018-11-02,3.65,40,103
14161407,Cute Jamaica Plain Condo,5454238,Kate,,Jamaica Plain,42.31968622416286,-71.11205826620998,Entire home/apt,180,1,1,2016-10-11,0.04,1,0
14186170,Large & Cozy 1 Bedroom in Center of South Boston,8985714,Tj,,South Boston,42.33345441034461,-71.04789353494206,Entire home/apt,180,1,35,2018-07-13,1.26,1,361
14191723,Feel right at home! 1BR w/ Private Deck-Close to T,30238002,Robert,,Charlestown,42.3790886009274,-71.06301537985014,Entire home/apt,117,1,9,2018-08-26,0.47,1,162
14196181,"@ NU, Hynes, Copley, Prudential, Boston Medical, T",50437930,Misha,,Roxbury,42.33724826145963,-71.08384308548277,Entire home/apt,168,1,78,2018-11-16,3.10,3,93
14200338,(15-3) Everyone's Favorite! Beacon Hill!,21184200,Paige,,Beacon Hill,42.35997275096843,-71.06798630188166,Entire home/apt,155,1,118,2018-10-16,4.45,42,104
14203428,Smiling Buddha Bedroom near Harvard,26956083,Todd,,Allston,42.36077501013337,-71.12743714328603,Private room,78,2,87,2018-11-02,3.13,40,6
14204600,North End 2 BR | 1 BA Duplex in Little Italy,9410008,Jason,,North End,42.36784682332886,-71.05300114479144,Entire home/apt,275,2,110,2018-11-05,3.93,19,345
14215317,"(161-2) North End-Freedom Trail, TD Garden, 3 beds",21184200,Paige,,North End,42.36677260940947,-71.05759193084558,Entire home/apt,150,1,115,2018-10-28,4.37,42,245
14216000,"Longfellow Place, Lux 1Bd West End/Beacon Hill*",22541573,Ken,,West End,42.362619131123324,-71.06590828345121,Entire home/apt,219,30,3,2017-01-10,0.11,17,349
14217967,Stylish Studio in Historic Back Bay,6742925,Danielle,,Back Bay,42.35361675796534,-71.0773942234172,Entire home/apt,200,2,36,2018-10-28,1.29,1,0
14220964,Serenity Room near Harvard Square,26956083,Todd,,Allston,42.36172482895364,-71.12716152273386,Private room,64,2,60,2018-11-01,2.16,40,17
14222649,Chinatown Single Bedroom,82955257,Kristin,,Chinatown,42.348116363319,-71.06165024013819,Private room,93,1,2,2016-08-12,0.07,2,0
14237196,"Lovely Back Bay Studio, public T, Downtown",31340713,Kama,,Bay Village,42.349319949127846,-71.06682139176101,Entire home/apt,118,2,44,2018-09-30,1.68,9,251
14239909,2brm/2bath home away from home downtown Boston,2006852,Jay,,North End,42.36390464107974,-71.05755214010996,Entire home/apt,198,1,133,2018-10-30,5.00,9,233
14242888,Blue Family  bedroom,27871799,Althea,,Mattapan,42.27489916460158,-71.07706633773087,Private room,70,1,45,2018-11-11,1.62,5,355
14246956,"2BR Downtown,sleeps 6! Transit,Chinatwn,South Stn",31340713,Kama,,Chinatown,42.34754058861708,-71.06021712789311,Entire home/apt,175,2,41,2018-09-03,1.56,9,253
14251275,"2bed Dwtn Boston,Tufts Medical,South Station,MBTA*",31340713,Kama,,Chinatown,42.349611708674736,-71.06062286276435,Entire home/apt,196,2,23,2018-08-26,0.89,9,0
14251839,The Relaxation Room near Harvard Square,26956083,Todd,,Allston,42.36141251934717,-71.12586980051938,Private room,59,2,47,2018-10-26,1.78,40,11
14253149,The Sanctuary near Harvard Square with 2 BEDS,26956083,Todd,,Allston,42.361206198172184,-71.126492808419,Private room,79,2,98,2018-10-30,3.69,40,35
14253538,Cozy 1-Bedroom Roof Deck Apartment in Beacon Hill,37284986,Chris,,Beacon Hill,42.36039584556532,-71.0700655592388,Entire home/apt,250,2,1,2018-10-14,0.86,1,25
14254537,Luxury condo in the heart of JP,11722054,Nina,,Jamaica Plain,42.31121241933621,-71.11191178759881,Entire home/apt,200,4,9,2018-09-02,0.33,1,0
14255219,"Private room 3 mins to T, 5mins driving to airport",66377071,Hector,,East Boston,42.366904603169814,-71.03768084507143,Private room,46,1,93,2017-10-17,3.35,2,0
14260905,"Comfortable, convenient & affordable JP Apartment",29890732,Nancy,,Jamaica Plain,42.311875232278126,-71.10988285778794,Entire home/apt,175,2,15,2018-10-13,0.57,1,346
14272646,The cardinal room,52187617,David,,Mattapan,42.284574949028126,-71.09531867826996,Private room,41,1,110,2018-11-09,4.10,2,362
14274311,Cozy luxury Apt near prudential Center,52580942,Ben,,Fenway,42.34207736574011,-71.08456532224928,Entire home/apt,150,2,182,2018-10-28,6.55,1,69
14299184,One Bedroom located in the West End,18202088,Luxurious,,West End,42.3640904590381,-71.0689242912307,Entire home/apt,300,2,1,2016-08-12,0.04,27,0
14303090,Cozy Remodeled Compact  Apartment,8015347,Edwin,,West Roxbury,42.272319782196924,-71.16249812931645,Entire home/apt,155,1,88,2018-11-03,3.17,1,364
14303761,"Boston Iniversity, Harvard, one year rent only",30489899,Home On Blaine,,Allston,42.356451193585606,-71.13661022366645,Private room,40,1,0,,,8,365
14311859,"Quaint Allston Corner, Perfect for Travellers",61326660,Jane,,Allston,42.3473398065589,-71.13659302708494,Private room,48,3,25,2018-10-03,0.90,1,0
14319414,Luxury Condo Near Boston Convention Center,66436691,Andrew & Jen,,South Boston,42.339556780062786,-71.05012180059637,Entire home/apt,300,2,15,2018-11-05,0.58,1,355
14331110,Classic Victorian w/easy Downtown/Cambridge access,7188694,Kofi,,Dorchester,42.29536531920949,-71.06341745508199,Private room,50,1,0,,,1,105
14337161,Modern 1 bdr Great Location Fort Hill Sleeps 2,8869041,Mayya,,Roxbury,42.330231858642506,-71.09385580616025,Entire home/apt,195,3,7,2018-10-25,0.29,1,121
14368660,Private Room - Commonwealth Avenue,69884462,Syed,,Fenway,42.35009465594819,-71.10681797693022,Private room,100,1,14,2018-07-21,0.50,1,108
14397533,"Cozy, exposed brick 1bd in historic Back Bay",23000895,Mika,,Back Bay,42.34932836669501,-71.08485519356563,Entire home/apt,300,2,15,2018-10-07,0.58,1,13
14402688,Cozy Brighton Apartment,88543034,Robert,,Brighton,42.345490392503976,-71.1408143950081,Private room,55,1,34,2017-05-16,1.24,1,0
14406532,Large one bedroom suite w/ private bath,88589810,Ronda,,West Roxbury,42.288087857407504,-71.16983560957881,Entire home/apt,100,1,97,2018-11-11,4.23,1,354
14414473,Modern living in a conveniently located brownstone,5654336,Bill,,Roxbury,42.33000608786648,-71.09193883686889,Entire home/apt,130,2,54,2018-11-11,1.96,1,357
14415125,"ARTHOUSE 2,  Stay in a gallery!",70542233,Christine,,Jamaica Plain,42.31633720566908,-71.1028559173715,Entire home/apt,239,3,10,2018-10-03,0.39,2,335
